ligue,code_fd,slug_understat,api_league_id,club_id,nom_affiche,nom_football_data,nom_understat,nom_api_football,api_team_id,saisons,nb_saisons,statut,saison_2026_27
Angleterre - Premier League,E0,EPL,39,E0-arsenal,Arsenal,Arsenal,Arsenal,Arsenal,42,2016-2027,11,verifie,oui
Angleterre - Premier League,E0,EPL,39,E0-astonvilla,Aston Villa,Aston Villa,Aston Villa,Aston Villa,66,2019-2027,8,verifie,oui
Angleterre - Premier League,E0,EPL,39,E0-bournemouth,Bournemouth,Bournemouth,Bournemouth,Bournemouth,35,2016-2027,9,verifie,oui
Angleterre - Premier League,E0,EPL,39,E0-brentford,Brentford,Brentford,Brentford,Brentford,55,2021-2027,6,verifie,oui
Angleterre - Premier League,E0,EPL,39,E0-brighton,Brighton,Brighton,Brighton,Brighton,51,2017-2027,10,verifie,oui
Angleterre - Premier League,E0,EPL,39,E0-burnley,Burnley,Burnley,Burnley,,,2016-2026,8,verifie,non
Angleterre - Premier League,E0,EPL,39,E0-cardiff,Cardiff,Cardiff,Cardiff,,,2018-2019,1,verifie,non
Angleterre - Premier League,E0,EPL,39,E0-chelsea,Chelsea,Chelsea,Chelsea,Chelsea,49,2016-2027,11,verifie,oui
Angleterre - Premier League,E0,EPL,39,E0-coventry,Coventry,Coventry,Coventry,Coventry,1346,2026-2027,1,verifie,oui
Angleterre - Premier League,E0,EPL,39,E0-crystalpalac,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace,52,2016-2027,11,verifie,oui
Angleterre - Premier League,E0,EPL,39,E0-everton,Everton,Everton,Everton,Everton,45,2016-2027,11,verifie,oui
Angleterre - Premier League,E0,EPL,39,E0-fulham,Fulham,Fulham,Fulham,Fulham,36,2018-2027,7,verifie,oui
Angleterre - Premier League,E0,EPL,39,E0-huddersfield,Huddersfield,Huddersfield,Huddersfield,,,2017-2019,2,verifie,non
Angleterre - Premier League,E0,EPL,39,E0-hull,Hull,Hull,Hull,Hull City,64,2016-2027,2,verifie,oui
Angleterre - Premier League,E0,EPL,39,E0-ipswich,Ipswich,Ipswich,Ipswich,Ipswich,57,2024-2027,2,verifie,oui
Angleterre - Premier League,E0,EPL,39,E0-leeds,Leeds,Leeds,Leeds,Leeds,63,2020-2027,5,verifie,oui
Angleterre - Premier League,E0,EPL,39,E0-leicester,Leicester,Leicester,Leicester,,,2016-2025,8,verifie,non
Angleterre - Premier League,E0,EPL,39,E0-liverpool,Liverpool,Liverpool,Liverpool,Liverpool,40,2016-2027,11,verifie,oui
Angleterre - Premier League,E0,EPL,39,E0-luton,Luton,Luton,Luton,,,2023-2024,1,verifie,non
Angleterre - Premier League,E0,EPL,39,E0-mancity,Manchester City,Man City,Manchester City,Manchester City,50,2016-2027,11,verifie,oui
Angleterre - Premier League,E0,EPL,39,E0-manunited,Manchester United,Man United,Manchester United,Manchester United,33,2016-2027,11,verifie,oui
Angleterre - Premier League,E0,EPL,39,E0-middlesbroug,Middlesbrough,Middlesbrough,Middlesbrough,,,2016-2017,1,verifie,non
Angleterre - Premier League,E0,EPL,39,E0-newcastle,Newcastle United,Newcastle,Newcastle United,Newcastle,34,2017-2027,10,verifie,oui
Angleterre - Premier League,E0,EPL,39,E0-norwich,Norwich,Norwich,Norwich,,,2019-2022,2,verifie,non
